time,yaw,pitch,roll
2023-04-27 13:37:39.8270,70.493,16.449,-80.353
2023-04-27 13:37:39.9270,85.675,40.427,-134.258
2023-04-27 13:37:40.0270,135.118,64.72,153.885
2023-04-27 13:37:40.1270,-133.831,53.833,58.461
2023-04-27 13:37:40.2270,-101.166,24.365,36.517
2023-04-27 13:37:40.3270,-59.9,18.921,16.747
2023-04-27 13:37:40.4270,8.704,28.631,-7.521
2023-04-27 13:37:40.5270,52.612,27.39,-33.284
2023-04-27 13:37:40.6270,53.624,32.4,-53.534
2023-04-27 13:37:40.7270,42.452,40.396,-52.591
2023-04-27 13:37:40.8270,30.7,37.733,-44.026
2023-04-27 13:37:40.9270,23.234,34.411,-39.08
2023-04-27 13:37:41.0270,9.35,31.01,-36.605
2023-04-27 13:37:41.1270,-7.321,35.568,-38.418
2023-04-27 13:37:41.2260,1.638,55.227,-59.455
2023-04-27 13:37:41.3270,-80.338,78.511,-5.827
2023-04-27 13:37:41.4270,-141.196,50.717,40.154
2023-04-27 13:37:41.5270,-119.16,27.753,17.645
2023-04-27 13:37:41.6270,-61.42,5.269,-8.854
2023-04-27 13:37:41.7270,16.851,-16.17,-4.086
2023-04-27 13:37:41.8270,52.976,0.388,-22.36
2023-04-27 13:37:41.9270,51.069,31.999,-76.1
2023-04-27 13:37:42.0260,79.242,69.232,-150.185
2023-04-27 13:37:42.1250,-156.652,68.624,65.556
2023-04-27 13:37:42.2260,-116.41,38.446,28.628
2023-04-27 13:37:42.3240,-72.07,17.895,-2.685
2023-04-27 13:37:42.4220,-11.366,-2.637,-16.838
2023-04-27 13:37:42.5240,46.486,0.106,-29.506
2023-04-27 13:37:42.6220,67.634,22.443,-73.088
2023-04-27 13:37:42.7230,82.723,36.421,-127.297
2023-04-27 13:37:42.8270,99.283,51.463,-177.01
2023-04-27 13:37:42.9270,163.044,74.607,108.832
2023-04-27 13:37:43.0270,-110.719,39.428,30.985
2023-04-27 13:37:43.1260,-82.234,12.997,18.536
2023-04-27 13:37:43.2270,-29.059,4.587,-0.609
2023-04-27 13:37:43.3260,34.412,2.162,-17.569
2023-04-27 13:37:43.4260,68.817,18.663,-59.461
2023-04-27 13:37:43.5260,84.371,37.82,-105.193
2023-04-27 13:37:43.6270,90.801,49.739,-150.616
2023-04-27 13:37:43.7260,103.302,69.924,175.546
2023-04-27 13:37:43.8260,-95.883,69.632,14.489
2023-04-27 13:37:43.9260,-78.472,45.21,3.022
2023-04-27 13:37:44.0260,-60.388,32.425,-14.911
2023-04-27 13:37:44.1260,-44.657,18.807,-29.382
2023-04-27 13:37:44.2250,-44.675,6.042,-33.458
2023-04-27 13:37:44.3250,-41.987,5.057,-31.115
2023-04-27 13:37:44.4250,-19.512,8.539,-29.057
2023-04-27 13:37:44.5250,29.109,3.54,-31.564
2023-04-27 13:37:44.6250,58.868,1.318,-32.848
2023-04-27 13:37:44.7260,61.784,-6.039,-29.432
2023-04-27 13:37:44.8250,68.324,-9.123,-23.594
